POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
72,NathanÿCoulter-Nile,26,25,93.5,719,36,0,19.97,7.66,15.63,1,0
73,ShardulÿThakur,36,35,117.5,"1,065",36,0,29.58,9.03,19.63,0,0
74,PradeepÿSangwan,39,39,133.4,"1,175",35,0,33.57,8.79,22.91,0,0
75,MitchellÿStarc,27,26,96.4,693,34,0,20.38,7.16,17.05,1,0
76,PawanÿNegi,50,42,119.2,939,34,0,27.61,7.86,21.05,1,0
77,DanÿChristian,40,40,130.3,"1,037",34,0,30.5,7.94,23.02,0,0
78,DeepakÿChahar,34,34,114.4,875,33,0,26.51,7.63,20.84,0,0
79,KevonÿCooper,25,25,96,757,33,0,22.93,7.88,17.45,1,0
80,MuraliÿKartik,56,55,191.3,"1,388",31,0,44.77,7.24,37.06,0,0
81,KagisoÿRabada,18,18,68.2,556,31,0,17.93,8.13,13.22,2,0
82,ThisaraÿPerera,37,36,116.2,"1,016",31,0,32.77,8.73,22.51,0,0
83,AzharÿMahmood,23,23,89.3,700,29,0,24.13,7.82,18.51,0,0
84,AjitÿAgarkar,42,42,130.2,"1,151",29,0,39.68,8.83,26.96,0,0
85,DanielÿVettori,34,34,129.3,879,28,0,31.39,6.78,27.75,0,0
86,DirkÿNannes,29,29,107.4,785,28,0,28.03,7.29,23.07,0,0
87,PravinÿTambe,33,33,110,853,28,0,30.46,7.75,23.57,1,0
88,AmitÿSingh,23,23,78.5,620,28,0,22.14,7.86,16.89,1,0
89,TimÿSouthee,40,40,148,"1,293",28,0,46.17,8.73,31.71,0,0
90,MohammedÿSiraj,26,26,92.1,848,28,0,30.28,9.2,19.75,1,0
91,MFÿMaharoof,20,20,70,520,27,0,19.25,7.42,15.55,0,0
92,AngeloÿMathews,49,44,131.5,"1,079",27,0,39.96,8.18,29.29,1,0
93,WayneÿParnell,26,26,95.2,701,26,0,26.96,7.35,22,0,0
94,JofraÿArcher,21,21,81.5,616,26,0,23.69,7.52,18.88,0,0
95,BenÿStokes,34,30,97.5,808,26,0,31.07,8.25,22.57,0,0
96,DwayneÿSmith,91,46,89.5,810,26,0,31.15,9.01,20.73,1,0
97,JohanÿBotha,34,34,115.4,800,25,0,32,6.91,27.76,0,0
98,SureshÿRaina,193,69,151.2,"1,118",25,0,44.72,7.38,36.32,0,0
99,BrettÿLee,38,38,145.5,"1,095",25,0,43.8,7.5,35,0,0
100,HarmeetÿSingh Bansal,27,26,84.3,674,25,0,26.96,7.97,20.28,0,0
